review_id,overall_rating_score,overall_rating_quote,food_score,food_quote,service_score,service_quote,price_score,price_quote,ambiance_score,ambiance_quote
0tSlkEyJAscTXB3-gVJc2w,0.0,major letdown,0.0,major letdown,0.5,Totally casual,,,0.5,Totally casual place
E-6yK1WBbsc0p-sW2smrpQ,0.5,It was ok,0.5,pretty tasty,,,,,,
8yYiM8lSvyJDMg954EU8Pg,1.0,was good,1.0,was good,1.0,diamond and William are exceptional employees,,,,
RlhgWWrnnUU4UlyPmbcy1w,1.0,5-star experience,1.0,I enjoyed the crawfish étouffée so much,1.0,excellent service,,,,
JeCwr9a7M_sGPbFrlyYk4A,0.5,Something for everyone,0.5,Shrimp is amazing,0.5,Line moves pretty fast,0.5,well worth it,0.5,Great location
p1E0ePzI1KxgDkVCF9aX7g,0.5,food is pretty good,0.5,Great flavor and great gumbo,0.5,Service is pretty quick,,,0.5,It's super cute inside
EG19_sbz43AaPrBC2HXqew,-0.5,below average,-0.5,below average,,,,,,
2k009P4y2KEqemzpcbqETw,0.5,nothing fancy but the turnip greens are delicious,0.5,turnip greens are delicious,,,,,0.0,"Cafeteria style, nothing fancy"
QlrdQMmO4SB7xcsthqb3iw,1.0,a must try,1.0,amazing,1.0,great,-0.5,pretty steep,,
MXadzs4sUvIYpi9VMzCvcA,1.0,"a great find, a great delight",1.0,great delight for po'boys and all that is southern,0.5,wait in a long but quick line,,,0.0,Don't go expecting fancy
gt_1mfLUKnftE6xfOR4pJA,1.0,Super yummy,1.0,Super yummy,1.0,One of the wait staff ensured my order modifications were correct,0.5,although after getting our food- we totally could have split 1 sandwich,,
FypcjgVXZyqSphz3DMZgjA,0.5,the perfect meal,0.5,wonderful - cooked perfectly,-0.5,The setting and service is not the best,,,-0.5,The setting and service is not the best
TpGeVTUZgjNGN9IAr6_o3A,1.0,So delicious,1.0,So delicious,0.5,Sweet server,,,,
ugiQ5hc7ZkZUTewjPm-25w,1.0,thoroughly pleased,1.0,so good,,,,,,
hFsbQYZVCxNeNbZfh2LTog,-1.0,tourist trap,-1.0,poboys were not very good,,,,,-1.0,crowded and hard to find seat
uioD6pjmqkM_lYJ5DFw8yA,-0.5,average at best,-0.5,not very tasty,,,,,-1.0,ambiance is zero
y22XP0YkBCKBd1VUge_kNw,-1.0,not even average,-1.0,half the meat,-1.0,4x's the wait,-1.0,twice the price,,
aQakA46n1xvIWl7PXmAS_g,1.0,a must-stop,1.0,a celebration in your mouth,0.5,be prepared for this to be a bit of a wait,,,-0.5,it is not a lot to look at inside or out
ERdK67sTT5LNDxiGBRdPoQ,0.5,All were very good,0.5,All were very good,,,,,-0.5,a tad on the touristy side and very busy
2w0YDfpOWwxnxqhjw7ITcA,1.0,Great staff and great food,1.0,great food,1.0,Great staff,0.5,Reasonably priced,,
pmyEXLtyovjuRbPSwaX-vg,0.5,nice spot,0.5,Great breakfast,,,0.5,reasonable price,,
PxYIzvMnycY6yVhllv4vXQ,-1.0,left little to be desired,-1.0,had better po'boy's up North in Chicago,-1.0,left little to be desired,,,-1.0,left little to be desired
tJ9htfCsiyvk8p2zngXspQ,0.0,It was alright,0.0,The food was OK,0.5,the service of the food runners was great,,,,
fTRJ99zIGco6bhTxrDTxyA,0.5,fun to visit institutions like this one,0.5,The meat on the Ferdi is so incredibly tender,0.5,The line tends to move quickly,,,0.5,fun to visit institutions like this one
vIhwHAFgqadmoOsBB-fpiw,-1.0,Won't be coming back,-1.0,very salty,0.5,went pretty fast,-1.0,$$$$,-0.5,no tablecloths on the tables
-P5UnsmTLKg73cuWDslMog,1.0,Loved my experience,1.0,hot and large portions,1.0,The staff was so friendly and helpful,0.5,$56,,
QucIX7-GhDnJAQB2iPh4zQ,-1.0,like eating at a $6.99 All You Can Eat Buffet,-1.0,like eating at a $6.99 All You Can Eat Buffet,,,,,-1.0,Should have a Tombstone out front
rh-2TRV8imhYnAV_1fcO_w,1.0,I give this place 5 stars,0.5,very good,1.0,every one there seems to know what they're doing,-0.5,$375,0.5,pictures all over the wall of famous people
